dataset,method,seed,inertia,iterations,converged,runtime_seconds
synthetic,random,10000,2777.254345389155,7,True,0.003153300000121817
synthetic,random,10001,2777.254345389155,7,True,0.002271400000608992
synthetic,random,10002,2777.257839463815,11,True,0.006035499998688465
synthetic,random,10003,2777.5652161720213,9,True,0.002741799999057548
synthetic,random,10004,2777.4921271778403,9,True,0.0023841999973228667
synthetic,random,10005,2777.254345389155,6,True,0.0015390999978990294
synthetic,random,10006,2777.257839463815,8,True,0.001995300000999123
synthetic,random,10007,2777.6915443429652,22,True,0.006987600001593819
synthetic,random,10008,2777.254345389155,9,True,0.0023103000021365006
synthetic,random,10009,2777.254345389155,10,True,0.002500399998098146
synthetic,random,10010,2777.254345389155,10,True,0.002482600000803359
synthetic,random,10011,2777.5652161720213,11,True,0.0027936000005865935
synthetic,random,10012,2777.6915443429652,11,True,0.004138199998124037
synthetic,random,10013,2777.257839463815,9,True,0.002239400000689784
synthetic,random,10014,2777.3280949898285,8,True,0.0019523000009940006
synthetic,random,10015,2777.4921271778403,7,True,0.0019365999978617765
synthetic,random,10016,2777.6915443429652,13,True,0.0032380000011471566
synthetic,random,10017,2777.3280949898285,11,True,0.0027306000010867137
synthetic,random,10018,2777.317219545398,9,True,0.00340660000074422
synthetic,random,10019,2777.257839463815,12,True,0.0035515000017767306
synthetic,random,10020,2777.309833190558,9,True,0.0026906000020971987
synthetic,random,10021,2777.3280949898285,10,True,0.002898899998399429
synthetic,random,10022,2777.317219545398,11,True,0.0035062000024481677
synthetic,random,10023,2777.6915443429652,8,True,0.003942100000131177
synthetic,random,10024,2777.317219545398,9,True,0.002871100001357263
synthetic,random,10025,2777.309833190558,8,True,0.0022147999989101663
synthetic,random,10026,2777.254345389155,11,True,0.0029598999972222373
synthetic,random,10027,2777.6915443429652,7,True,0.0018036000001302455
synthetic,random,10028,2777.257839463815,11,True,0.002874999998311978
synthetic,random,10029,2777.4921271778403,8,True,0.0033006999983626883
synthetic,kmeans++,10000,2777.6915443429652,10,True,0.002894099998229649
synthetic,kmeans++,10001,2777.257839463815,10,True,0.002710500000830507
synthetic,kmeans++,10002,2777.2933533839923,10,True,0.0027196000010007992
synthetic,kmeans++,10003,2777.4921271778403,6,True,0.0017827000010584015
synthetic,kmeans++,10004,2777.6915443429652,9,True,0.002478700000210665
synthetic,kmeans++,10005,2777.254345389155,4,True,0.0013304999993124511
synthetic,kmeans++,10006,2777.4921271778403,6,True,0.0032578999998804647
synthetic,kmeans++,10007,2777.257839463815,9,True,0.002526399999624118
synthetic,kmeans++,10008,2777.4921271778403,7,True,0.0019484999975247774
synthetic,kmeans++,10009,2777.257839463815,9,True,0.002389299999776995
synthetic,kmeans++,10010,2777.309833190558,9,True,0.0023724999991827644
synthetic,kmeans++,10011,2777.257839463815,7,True,0.0019245000003138557
synthetic,kmeans++,10012,2777.254345389155,10,True,0.002581000000645872
synthetic,kmeans++,10013,2777.254345389155,7,True,0.005132300000695977
synthetic,kmeans++,10014,2777.317219545398,12,True,0.0036782000024686567
synthetic,kmeans++,10015,2777.4921271778403,6,True,0.001876100002846215
synthetic,kmeans++,10016,2777.6915443429652,7,True,0.0020985000010114163
synthetic,kmeans++,10017,2777.605767525542,12,True,0.0033011999985319562
synthetic,kmeans++,10018,2777.254345389155,6,True,0.003276799998275237
synthetic,kmeans++,10019,2777.6915443429652,17,True,0.004522799998085247
synthetic,kmeans++,10020,2777.317219545398,9,True,0.0029251000014482997
synthetic,kmeans++,10021,2777.4921271778403,7,True,0.002147999999579042
synthetic,kmeans++,10022,2777.4921271778403,8,True,0.002224300002126256
synthetic,kmeans++,10023,2777.317219545398,11,True,0.004528000001300825
synthetic,kmeans++,10024,2777.6915443429652,10,True,0.003906600002665073
synthetic,kmeans++,10025,2777.257839463815,6,True,0.0017790000019886065
synthetic,kmeans++,10026,2777.4008760005318,6,True,0.0017246000024897512
